Date,ETF,Score,Message,Price
2025-06-13,SGOV,70.0,⚠️ Watch Closely,100.49
2025-06-13,TFLO,70.0,⚠️ Watch Closely,50.54
2025-06-13,SHV,70.0,⚠️ Watch Closely,110.2
2025-06-13,BIL,70.0,⚠️ Watch Closely,91.54
2025-06-13,ICSH,70.0,⚠️ Watch Closely,50.55
2025-06-13,USFR,45.0,⬇️ No Peak Signal,50.4
2025-06-13,SGOV,70.0,⚠️ Watch Closely,100.49
2025-06-13,TFLO,70.0,⚠️ Watch Closely,50.54
2025-06-13,SHV,70.0,⚠️ Watch Closely,110.2
2025-06-13,BIL,70.0,⚠️ Watch Closely,91.54
2025-06-13,ICSH,70.0,⚠️ Watch Closely,50.55
2025-06-13,USFR,45.0,⬇️ No Peak Signal,50.4
