ETF,Peak_Date,Peak
USFR,2023-01-24,50.400001525878906
USFR,2023-02-21,50.400001525878906
USFR,2023-03-24,50.400001525878906
USFR,2023-04-21,50.43000030517578
USFR,2023-05-22,50.470001220703125
USFR,2023-06-23,50.5
USFR,2023-07-21,50.4900016784668
USFR,2023-08-24,50.5099983215332
USFR,2023-09-22,50.47999954223633
USFR,2023-10-24,50.4900016784668
USFR,2023-11-22,50.4900016784668
USFR,2023-12-21,50.45000076293945
USFR,2024-01-24,50.41999816894531
USFR,2024-02-22,50.459999084472656
USFR,2024-03-21,50.459999084472656
USFR,2024-04-23,50.5
USFR,2024-05-23,50.52000045776367
USFR,2024-06-24,50.5099983215332
USFR,2024-07-25,50.47999954223633
USFR,2024-08-23,50.459999084472656
USFR,2024-09-24,50.400001525878906
USFR,2024-10-25,50.41999816894531
USFR,2024-11-22,50.45000076293945
USFR,2024-12-24,50.459999084472656
USFR,2025-01-24,50.47999954223633
USFR,2025-02-24,50.5
USFR,2025-03-25,50.470001220703125
USFR,2025-04-24,50.43999862670898
USFR,2025-05-23,50.470001220703125
SGOV,2023-01-31,100.45999908447266
SGOV,2023-02-28,100.43000030517578
SGOV,2023-03-31,100.58000183105467
SGOV,2023-04-28,100.55999755859376
SGOV,2023-05-31,100.58999633789062
SGOV,2023-06-30,100.62999725341795
SGOV,2023-07-31,100.62000274658205
SGOV,2023-08-31,100.66999816894533
SGOV,2023-09-29,100.66999816894533
SGOV,2023-10-31,100.6999969482422
SGOV,2023-11-30,100.7300033569336
SGOV,2023-12-29,100.2699966430664
SGOV,2024-01-31,100.70999908447266
SGOV,2024-02-29,100.6999969482422
SGOV,2024-03-28,100.70999908447266
SGOV,2024-04-30,100.6999969482422
SGOV,2024-05-31,100.75
SGOV,2024-06-28,100.70999908447266
SGOV,2024-07-31,100.72000122070312
SGOV,2024-08-30,100.73999786376952
SGOV,2024-09-30,100.72000122070312
SGOV,2024-10-31,100.6999969482422
SGOV,2024-11-29,100.68000030517578
SGOV,2024-12-31,100.31999969482422
SGOV,2025-01-31,100.68000030517578
SGOV,2025-02-28,100.6500015258789
SGOV,2025-03-31,100.66999816894533
SGOV,2025-04-30,100.69000244140624
SGOV,2025-05-30,100.70999908447266
SGOV,2025-06-06,100.44000244140624
TFLO,2023-01-31,50.560001373291016
TFLO,2023-02-28,50.560001373291016
TFLO,2023-03-31,50.59000015258789
TFLO,2023-04-28,50.630001068115234
TFLO,2023-05-31,50.650001525878906
TFLO,2023-06-30,50.66999816894531
TFLO,2023-07-31,50.66999816894531
TFLO,2023-08-31,50.7400016784668
TFLO,2023-09-29,50.7400016784668
TFLO,2023-10-31,50.75
TFLO,2023-11-30,50.75
TFLO,2023-12-29,50.470001220703125
TFLO,2024-01-31,50.70000076293945
TFLO,2024-02-29,50.70000076293945
TFLO,2024-03-28,50.68999862670898
TFLO,2024-04-30,50.68000030517578
TFLO,2024-05-31,50.70000076293945
TFLO,2024-06-28,50.65999984741211
TFLO,2024-07-31,50.650001525878906
TFLO,2024-08-30,50.630001068115234
TFLO,2024-09-30,50.59999847412109
TFLO,2024-10-31,50.61000061035156
TFLO,2024-11-29,50.630001068115234
TFLO,2024-12-31,50.470001220703125
TFLO,2025-01-31,50.68000030517578
TFLO,2025-02-28,50.66999816894531
TFLO,2025-03-31,50.65999984741211
TFLO,2025-04-30,50.630001068115234
TFLO,2025-05-30,50.65999984741211
TFLO,2025-06-06,50.5099983215332
BIL,2023-01-31,91.7300033569336
BIL,2023-02-28,91.70999908447266
BIL,2023-03-31,91.81999969482422
BIL,2023-04-28,91.77999877929688
BIL,2023-05-31,91.7699966430664
BIL,2023-06-30,91.81999969482422
BIL,2023-07-31,91.8000030517578
BIL,2023-08-31,91.86000061035156
BIL,2023-09-29,91.81999969482422
BIL,2023-10-31,91.81999969482422
BIL,2023-11-30,91.83999633789062
BIL,2023-12-29,91.38999938964844
BIL,2024-01-31,91.77999877929688
BIL,2024-02-29,91.77999877929688
BIL,2024-03-28,91.8000030517578
BIL,2024-04-30,91.79000091552734
BIL,2024-05-31,91.81999969482422
BIL,2024-06-28,91.77999877929688
BIL,2024-07-31,91.8000030517578
BIL,2024-08-30,91.81999969482422
BIL,2024-09-30,91.80999755859376
BIL,2024-10-31,91.8000030517578
BIL,2024-11-29,91.77999877929688
BIL,2024-12-31,91.43000030517578
BIL,2025-01-31,91.75
BIL,2025-02-28,91.72000122070312
BIL,2025-03-31,91.7300033569336
BIL,2025-04-30,91.72000122070312
BIL,2025-05-30,91.73999786376952
BIL,2025-06-06,91.5
SHV,2023-01-31,110.27999877929688
SHV,2023-02-28,110.2300033569336
SHV,2023-03-31,110.5
SHV,2023-04-28,110.4499969482422
SHV,2023-05-31,110.41000366210938
SHV,2023-06-30,110.4499969482422
SHV,2023-07-31,110.44000244140624
SHV,2023-08-31,110.5
SHV,2023-09-29,110.47000122070312
SHV,2023-10-31,110.5
SHV,2023-11-30,110.58999633789062
SHV,2023-12-29,110.12999725341795
SHV,2024-01-31,110.56999969482422
SHV,2024-02-29,110.52999877929688
SHV,2024-03-28,110.54000091552734
SHV,2024-04-30,110.47000122070312
SHV,2024-05-31,110.51000213623048
SHV,2024-06-28,110.5
SHV,2024-07-31,110.54000091552734
SHV,2024-08-30,110.5999984741211
SHV,2024-09-30,110.62999725341795
SHV,2024-10-31,110.56999969482422
SHV,2024-11-29,110.51000213623048
SHV,2024-12-31,110.11000061035156
SHV,2025-01-31,110.51000213623048
SHV,2025-02-28,110.4499969482422
SHV,2025-03-31,110.45999908447266
SHV,2025-04-30,110.45999908447266
SHV,2025-05-30,110.44000244140624
SHV,2025-06-06,110.12999725341795
ICSH,2023-01-31,50.290000915527344
ICSH,2023-02-28,50.20000076293945
ICSH,2023-03-31,50.25
ICSH,2023-04-28,50.31999969482422
ICSH,2023-05-31,50.310001373291016
ICSH,2023-06-30,50.29999923706055
ICSH,2023-07-31,50.34999847412109
ICSH,2023-08-31,50.38999938964844
ICSH,2023-09-29,50.380001068115234
ICSH,2023-10-31,50.400001525878906
ICSH,2023-11-30,50.47999954223633
ICSH,2023-12-29,50.36000061035156
ICSH,2024-01-31,50.59999847412109
ICSH,2024-02-29,50.54999923706055
ICSH,2024-03-28,50.560001373291016
ICSH,2024-04-30,50.5
ICSH,2024-05-31,50.54999923706055
ICSH,2024-06-28,50.52999877929688
ICSH,2024-07-31,50.63999938964844
ICSH,2024-08-30,50.709999084472656
ICSH,2024-09-30,50.7400016784668
ICSH,2024-10-31,50.68000030517578
ICSH,2024-11-29,50.650001525878906
ICSH,2024-12-31,50.43000030517578
ICSH,2025-01-31,50.650001525878906
ICSH,2025-02-28,50.68000030517578
ICSH,2025-03-31,50.70000076293945
ICSH,2025-04-30,50.68999862670898
ICSH,2025-05-30,50.66999816894531
ICSH,2025-06-06,50.5099983215332
