ETF,Month,Low_Date,Low,Peak_Date,Peak,Rebound_%,Days_Between_Low_and_Peak,Multi_Peak_Days,Is_Multi_Day_Peak,10D_Low_Before_Peak,Was_Peak_in_Prior_Month
BIL,2023-01,1/17/2023,91.58,1/31/2023,91.73,0.164,14,1,FALSE,91.58,FALSE
BIL,2023-02,2/13/2023,91.54,2/28/2023,91.71,0.186,15,2,TRUE,91.54,FALSE
BIL,2023-03,3/16/2023,91.7,3/30/2023,91.84,0.153,14,1,FALSE,91.7,FALSE
BIL,2023-04,4/14/2023,91.63,4/28/2023,91.78,0.164,14,2,TRUE,91.63,FALSE
BIL,2023-05,5/16/2023,91.58,5/31/2023,91.77,0.207,15,1,FALSE,91.58,FALSE
BIL,2023-06,6/15/2023,91.64,6/30/2023,91.82,0.196,15,1,FALSE,91.64,FALSE
BIL,2023-07,7/17/2023,91.63,7/31/2023,91.8,0.186,14,1,FALSE,91.63,FALSE
BIL,2023-08,8/17/2023,91.67,8/31/2023,91.86,0.207,14,1,FALSE,91.67,FALSE
BIL,2023-09,9/15/2023,91.64,9/29/2023,91.82,0.196,14,1,FALSE,91.64,FALSE
BIL,2023-10,10/17/2023,91.64,10/31/2023,91.82,0.196,14,3,TRUE,91.64,FALSE
BIL,2023-11,11/15/2023,91.62,11/30/2023,91.84,0.24,15,1,FALSE,91.62,FALSE
BIL,2023-12,12/1/2023,91.44,12/15/2023,91.63,0.208,14,1,FALSE,91.44,FALSE
BIL,2024-01,1/17/2024,91.61,1/31/2024,91.78,0.186,14,1,FALSE,91.61,FALSE
BIL,2024-02,2/14/2024,91.56,2/29/2024,91.78,0.24,15,2,TRUE,91.56,FALSE
BIL,2024-03,3/14/2024,91.61,3/28/2024,91.8,0.207,14,2,TRUE,91.61,FALSE
BIL,2024-04,4/16/2024,91.61,4/30/2024,91.79,0.196,14,1,FALSE,91.61,FALSE
BIL,2024-05,5/16/2024,91.64,5/31/2024,91.82,0.196,15,1,FALSE,91.64,FALSE
BIL,2024-06,6/13/2024,91.57,6/28/2024,91.78,0.229,15,2,TRUE,91.57,FALSE
BIL,2024-07,7/17/2024,91.63,7/31/2024,91.8,0.186,14,1,FALSE,91.63,FALSE
BIL,2024-08,8/16/2024,91.65,8/30/2024,91.82,0.185,14,1,FALSE,91.65,FALSE
BIL,2024-09,9/16/2024,91.64,9/30/2024,91.81,0.186,14,1,FALSE,91.64,FALSE
BIL,2024-10,10/17/2024,91.64,10/31/2024,91.8,0.175,14,2,TRUE,91.64,FALSE
BIL,2024-11,11/14/2024,91.6,11/29/2024,91.78,0.197,15,2,TRUE,91.6,FALSE
BIL,2024-12,12/4/2024,91.5,12/18/2024,91.66,0.175,14,2,TRUE,91.5,FALSE
BIL,2025-01,1/16/2025,91.58,1/31/2025,91.75,0.186,15,1,FALSE,91.58,FALSE
BIL,2025-02,2/13/2025,91.55,2/28/2025,91.72,0.186,15,2,TRUE,91.55,FALSE
BIL,2025-03,3/17/2025,91.6,3/31/2025,91.73,0.142,14,2,TRUE,91.6,FALSE
BIL,2025-04,4/15/2025,91.58,4/30/2025,91.72,0.153,15,1,FALSE,91.58,FALSE
BIL,2025-05,5/15/2025,91.56,5/30/2025,91.74,0.197,15,1,FALSE,91.56,FALSE
BIL,2025-06,6/2/2025,91.44,6/12/2025,91.54,0.109,10,1,FALSE,91.44,FALSE
