ETF,Month,Low_Date,Low,Peak_Date,Peak,Rebound_%,Days_Between_Low_and_Peak,Multi_Peak_Days,Is_Multi_Day_Peak,10D_Low_Before_Peak,Was_Peak_in_Prior_Month
BIL,2023-01,2023-01-17,91.58,2023-01-31,91.73,0.164,14,1,False,91.58,False
BIL,2023-02,2023-02-13,91.54,2023-02-28,91.71,0.186,15,1,False,91.54,False
BIL,2023-03,2023-03-16,91.7,2023-03-30,91.84,0.153,14,1,False,91.7,False
BIL,2023-04,2023-04-14,91.63,2023-04-28,91.78,0.164,14,2,True,91.63,False
BIL,2023-05,2023-05-16,91.58,2023-05-31,91.77,0.207,15,1,False,91.58,False
BIL,2023-06,2023-06-15,91.64,2023-06-30,91.82,0.196,15,1,False,91.64,False
BIL,2023-07,2023-07-17,91.63,2023-07-31,91.8,0.186,14,1,False,91.63,False
BIL,2023-08,2023-08-17,91.67,2023-08-31,91.86,0.207,14,1,False,91.67,False
BIL,2023-09,2023-09-15,91.64,2023-09-29,91.82,0.196,14,1,False,91.64,False
BIL,2023-10,2023-10-17,91.64,2023-10-31,91.82,0.196,14,2,True,91.64,False
BIL,2023-11,2023-11-15,91.62,2023-11-30,91.84,0.24,15,1,False,91.62,False
BIL,2023-12,2023-12-01,91.44,2023-12-15,91.63,0.208,14,1,False,91.44,False
BIL,2024-01,2024-01-17,91.61,2024-01-31,91.78,0.186,14,1,False,91.61,False
BIL,2024-02,2024-02-14,91.56,2024-02-29,91.78,0.24,15,1,False,91.56,False
BIL,2024-03,2024-03-14,91.61,2024-03-28,91.8,0.207,14,2,True,91.61,False
BIL,2024-04,2024-04-16,91.61,2024-04-30,91.79,0.196,14,1,False,91.61,False
BIL,2024-05,2024-05-16,91.64,2024-05-31,91.82,0.196,15,1,False,91.64,False
BIL,2024-06,2024-06-13,91.57,2024-06-28,91.78,0.229,15,1,False,91.57,False
BIL,2024-07,2024-07-17,91.63,2024-07-31,91.8,0.186,14,1,False,91.63,False
BIL,2024-08,2024-08-16,91.65,2024-08-30,91.82,0.185,14,1,False,91.65,False
BIL,2024-09,2024-09-16,91.64,2024-09-30,91.81,0.186,14,1,False,91.64,False
BIL,2024-10,2024-10-17,91.64,2024-10-31,91.8,0.175,14,1,False,91.64,False
BIL,2024-11,2024-11-14,91.6,2024-11-29,91.78,0.197,15,1,False,91.6,False
BIL,2024-12,2024-12-04,91.5,2024-12-18,91.66,0.175,14,2,True,91.5,False
BIL,2025-01,2025-01-16,91.58,2025-01-31,91.75,0.186,15,1,False,91.58,False
BIL,2025-02,2025-02-13,91.55,2025-02-28,91.72,0.186,15,1,False,91.55,False
BIL,2025-03,2025-03-17,91.6,2025-03-31,91.73,0.142,14,2,True,91.6,False
BIL,2025-04,2025-04-15,91.58,2025-04-30,91.72,0.153,15,1,False,91.58,False
BIL,2025-05,2025-05-15,91.56,2025-05-30,91.74,0.197,15,1,False,91.56,False
BIL,2025-06,2025-06-02,91.44,2025-06-10,91.53,0.098,8,1,False,91.44,False
