Month,BIL_Peak_Date,BIL_Peak,BIL_Low_Date,BIL_Low,Drop_%,Days_Between_Peak_and_Low,Multi_Low_Days,Is_Multi_Day_Low,10D_High_Before_Peak,10D_Low_After_Low,Was_Low_in_Next_Month
2023-01,2023-01-31,91.73,2023-02-01,91.4,-0.36,1,1,False,91.72,91.44,True
2023-02,2023-02-28,91.71,2023-03-01,91.46,-0.273,1,1,False,91.7,91.49,True
2023-03,2023-03-30,91.84,2023-04-03,91.47,-0.403,4,1,False,91.82,91.48,True
2023-04,2023-04-27,91.78,2023-05-02,91.41,-0.403,5,1,False,91.75,91.42,True
2023-05,2023-05-31,91.77,2023-06-01,91.45,-0.349,1,1,False,91.75,91.46,True
2023-06,2023-06-30,91.82,2023-07-03,91.47,-0.381,3,1,False,91.79,91.48,True
2023-07,2023-07-31,91.8,2023-08-01,91.43,-0.403,1,1,False,91.79,91.44,True
2023-08,2023-08-31,91.86,2023-09-01,91.47,-0.425,1,1,False,91.8,91.49,True
2023-09,2023-09-29,91.82,2023-10-02,91.44,-0.414,3,1,False,91.81,91.46,True
2023-10,2023-10-30,91.82,2023-11-01,91.44,-0.414,2,1,False,91.81,91.47,True
2023-11,2023-11-30,91.84,2023-12-01,91.44,-0.436,1,2,True,91.8,91.44,True
2023-12,2023-12-15,91.63,2023-12-18,91.22,-0.447,3,2,True,91.6,91.22,False
2024-01,2024-01-31,91.78,2024-02-01,91.42,-0.392,1,1,False,91.77,91.44,True
2024-02,2024-02-29,91.78,2024-03-01,91.45,-0.36,1,1,False,91.74,91.46,True
2024-03,2024-03-27,91.8,2024-04-01,91.42,-0.414,5,1,False,91.74,91.44,True
2024-04,2024-04-30,91.79,2024-05-01,91.42,-0.403,1,1,False,91.78,91.47,True
2024-05,2024-05-31,91.82,2024-06-03,91.43,-0.425,3,1,False,91.8,91.45,True
2024-06,2024-06-28,91.78,2024-07-01,91.42,-0.392,3,1,False,91.75,91.43,True
2024-07,2024-07-31,91.8,2024-08-01,91.42,-0.414,1,1,False,91.78,91.47,True
2024-08,2024-08-30,91.82,2024-09-03,91.46,-0.392,4,1,False,91.77,91.47,True
2024-09,2024-09-30,91.81,2024-10-01,91.46,-0.381,1,1,False,91.8,91.47,True
2024-10,2024-10-31,91.8,2024-11-01,91.48,-0.349,1,1,False,91.78,91.5,True
2024-11,2024-11-29,91.78,2024-12-02,91.47,-0.338,3,1,False,91.76,91.49,True
2024-12,2024-12-17,91.66,2024-12-19,91.29,-0.404,2,1,False,91.65,91.33,False
2025-01,2025-01-31,91.75,2025-02-03,91.45,-0.327,3,2,True,91.72,91.45,True
2025-02,2025-02-28,91.72,2025-03-03,91.45,-0.294,3,2,True,91.7,91.45,True
2025-03,2025-03-28,91.73,2025-04-01,91.43,-0.327,4,1,False,91.7,91.44,True
2025-04,2025-04-30,91.72,2025-05-01,91.43,-0.316,1,1,False,91.71,91.46,True
2025-05,2025-05-30,91.74,2025-06-02,91.44,-0.327,3,1,False,91.71,91.46,True
