Month,USFR_Peak_Date,USFR_Peak,SGOV_Return%,BIL_Return%,TFLO_Return%,SHV_Return%,ICSH_Return%,Any_Negative_Return
2023-01,2023-01-23,44.89635467529297,0.11,0.087,0.079,0.091,0.1,False
2023-03,2023-03-23,45.22957992553711,0.08,0.054,0.139,0.045,-0.08,True
2023-04,2023-04-20,45.43408966064453,0.05,0.044,0.158,0.082,0.199,False
2023-05,2023-05-22,45.65571975708008,0.129,0.098,0.138,0.091,0.08,False
2023-06,2023-06-23,45.88199615478516,0.09,0.076,0.099,0.063,0.02,False
2023-07,2023-07-21,46.0699462890625,0.109,0.098,0.099,0.1,0.139,False
2023-08,2023-08-23,46.29454803466797,0.09,0.087,0.059,0.091,0.099,False
2023-09,2023-09-21,46.47407531738281,0.129,0.109,0.118,0.1,0.139,False
2023-10,2023-10-23,46.48328399658203,0.089,0.109,0.099,0.1,0.119,False
2023-11,2023-11-22,46.69227981567383,0.07,0.054,0.059,0.072,0.139,False
2023-12,2023-12-21,46.866004943847656,0.1,0.099,0.119,0.127,0.139,False
2024-01,2024-01-22,47.04893112182617,0.119,0.109,0.119,0.091,0.099,False
2024-02,2024-02-23,47.32459259033203,0.04,0.033,0.039,0.027,0.059,False
2024-03,2024-03-22,47.51763916015625,0.089,0.098,0.079,0.091,0.099,False
2024-04,2024-04-22,47.7635498046875,0.089,0.087,0.119,0.091,0.079,False
2024-05,2024-05-23,47.99631881713867,0.04,0.044,0.039,0.036,0.059,False
2024-06,2024-06-21,48.19386291503906,0.089,0.087,0.059,0.1,0.079,False
2024-07,2024-07-23,48.38267517089844,0.089,0.098,0.119,0.1,0.119,False
2024-08,2024-08-23,48.59159469604492,0.099,0.098,0.059,0.091,0.079,False
2024-10,2024-10-22,48.95717239379883,0.089,0.087,0.099,0.109,0.059,False
2024-11,2024-11-22,49.19600296020508,0.089,0.065,0.059,0.091,0.119,False
2024-12,2024-12-23,49.39176559448242,0.07,0.088,0.119,0.1,0.119,False
2025-01,2025-01-21,49.591270446777344,0.109,0.098,0.099,0.1,0.099,False
2025-03,2025-03-19,49.91501235961914,0.119,0.131,0.099,0.127,0.138,False
2025-04,2025-04-22,50.08473205566406,0.08,0.076,0.099,0.063,0.218,False
2025-05,2025-05-23,50.290000915527344,0.07,0.055,0.039,0.054,0.119,False
