ETF,Month,Low_Date,Low,Peak_Date,Peak,Rebound_%,Days_Between_Low_and_Peak,Multi_Peak_Days,Is_Multi_Day_Peak,10D_Low_Before_Peak,Was_Peak_in_Prior_Month
SGOV,2023-01,2023-01-17,100.28,2023-01-31,100.46,0.179,14,2,True,100.28,False
SGOV,2023-02,2023-02-14,100.23,2023-02-28,100.43,0.2,14,2,True,100.23,False
SGOV,2023-03,2023-03-17,100.42,2023-03-31,100.58,0.159,14,1,False,100.42,False
SGOV,2023-04,2023-04-14,100.42,2023-04-28,100.56,0.139,14,2,True,100.42,False
SGOV,2023-05,2023-05-16,100.4,2023-05-31,100.59,0.189,15,2,True,100.4,False
SGOV,2023-06,2023-06-15,100.44,2023-06-30,100.63,0.189,15,2,True,100.44,False
SGOV,2023-07,2023-07-17,100.43,2023-07-31,100.62,0.189,14,2,True,100.43,False
SGOV,2023-08,2023-08-17,100.47,2023-08-31,100.67,0.199,14,1,False,100.47,False
SGOV,2023-09,2023-09-15,100.46,2023-09-29,100.67,0.209,14,2,True,100.46,False
SGOV,2023-10,2023-10-17,100.49,2023-10-31,100.7,0.209,14,1,False,100.49,False
SGOV,2023-11,2023-11-15,100.48,2023-11-30,100.73,0.249,15,1,False,100.48,False
SGOV,2023-12,2023-12-01,100.32,2023-12-13,100.45,0.13,12,1,False,100.32,False
SGOV,2024-01,2024-01-17,100.51,2024-01-31,100.71,0.199,14,2,True,100.51,False
SGOV,2024-02,2024-02-14,100.47,2024-02-29,100.7,0.229,15,1,False,100.47,False
SGOV,2024-03,2024-03-14,100.5,2024-03-28,100.71,0.209,14,1,False,100.5,False
SGOV,2024-04,2024-04-16,100.5,2024-04-30,100.7,0.199,14,2,True,100.5,False
SGOV,2024-05,2024-05-16,100.55,2024-05-31,100.75,0.199,15,1,False,100.55,False
SGOV,2024-06,2024-06-13,100.48,2024-06-28,100.71,0.229,15,2,True,100.48,False
SGOV,2024-07,2024-07-17,100.53,2024-07-31,100.72,0.189,14,1,False,100.53,False
SGOV,2024-08,2024-08-16,100.55,2024-08-30,100.74,0.189,14,1,False,100.55,False
SGOV,2024-09,2024-09-16,100.54,2024-09-30,100.72,0.179,14,2,True,100.54,False
SGOV,2024-10,2024-10-17,100.52,2024-10-31,100.7,0.179,14,1,False,100.52,False
SGOV,2024-11,2024-11-14,100.47,2024-11-29,100.68,0.209,15,3,True,100.47,False
SGOV,2024-12,2024-12-03,100.33,2024-12-17,100.51,0.179,14,2,True,100.33,False
SGOV,2025-01,2025-01-16,100.49,2025-01-31,100.68,0.189,15,1,False,100.49,False
SGOV,2025-02,2025-02-13,100.46,2025-02-28,100.65,0.189,15,1,False,100.46,False
SGOV,2025-03,2025-03-17,100.52,2025-03-31,100.67,0.149,14,2,True,100.52,False
SGOV,2025-04,2025-04-15,100.51,2025-04-30,100.69,0.179,15,1,False,100.51,False
SGOV,2025-05,2025-05-15,100.51,2025-05-30,100.71,0.199,15,1,False,100.51,False
SGOV,2025-06,2025-06-02,100.38,2025-06-12,100.49,0.11,10,1,False,100.38,False
