Month,SGOV_Peak_Date,SGOV_Peak,SGOV_Low_Date,SGOV_Low,Drop_%
2023-01,2023-01-23,100.3499984741211,2023-01-24,100.37999725341795,0.03
2023-02,2023-02-23,100.38999938964844,2023-03-01,100.16000366210938,-0.229
2023-03,2023-03-23,100.48999786376952,2023-03-27,100.51000213623048,0.02
2023-04,2023-04-21,100.5199966430664,2023-04-24,100.52999877929688,0.01
2023-05,2023-05-23,100.4800033569336,2023-05-24,100.4800033569336,0.0
2023-06,2023-06-23,100.54000091552734,2023-06-26,100.5500030517578,0.01
2023-07,2023-07-21,100.51000213623048,2023-07-24,100.52999877929688,0.02
2023-08,2023-08-23,100.52999877929688,2023-08-24,100.56999969482422,0.04
2023-09,2023-09-22,100.55999755859376,2023-09-25,100.58000183105467,0.02
2023-10,2023-10-23,100.58999633789062,2023-10-24,100.5999984741211,0.01
2023-11,2023-11-22,100.62999725341795,2023-11-24,100.66000366210938,0.03
2023-12,2023-12-22,100.18000030517578,2023-12-26,100.19000244140624,0.01
2024-01,2024-01-23,100.61000061035156,2024-01-24,100.62000274658205,0.01
2024-02,2024-02-23,100.62999725341795,2024-02-26,100.63999938964844,0.01
2024-03,2024-03-22,100.62000274658205,2024-03-25,100.63999938964844,0.02
2024-04,2024-04-23,100.61000061035156,2024-04-24,100.62000274658205,0.01
2024-05,2024-05-23,100.66999816894533,2024-05-24,100.68000030517578,0.01
2024-06,2024-06-21,100.62000274658205,2024-06-24,100.62999725341795,0.01
2024-07,2024-07-23,100.62000274658205,2024-07-24,100.62999725341795,0.01
2024-08,2024-08-23,100.63999938964844,2024-08-26,100.66000366210938,0.02
2024-09,2024-09-23,100.66000366210938,2024-09-24,100.66999816894533,0.01
2024-10,2024-10-23,100.58999633789062,2024-10-24,100.62000274658205,0.03
2024-11,2024-11-22,100.58999633789062,2024-11-25,100.5999984741211,0.01
2024-12,2024-12-23,100.22000122070312,2024-12-24,100.25,0.03
2025-01,2025-01-23,100.58000183105467,2025-01-24,100.61000061035156,0.03
2025-02,2025-02-21,100.58000183105467,2025-02-24,100.58999633789062,0.01
2025-03,2025-03-21,100.58000183105467,2025-03-24,100.5999984741211,0.02
2025-04,2025-04-23,100.61000061035156,2025-04-24,100.61000061035156,0.0
2025-05,2025-05-23,100.63999938964844,2025-05-27,100.6500015258789,0.01
