ETF,Month,Low_Date,Low,Peak_Date,Peak,Rebound_%,Days_Between_Low_and_Peak,Multi_Peak_Days,Is_Multi_Day_Peak,10D_Low_Before_Peak,Was_Peak_in_Prior_Month
SHV,2023-01,2023-01-17,110.11,2023-01-31,110.28,0.154,14,1,False,110.11,False
SHV,2023-02,2023-02-13,110.06,2023-02-28,110.23,0.154,15,2,True,110.06,False
SHV,2023-03,2023-03-21,110.33,2023-03-31,110.5,0.154,10,1,False,110.33,False
SHV,2023-04,2023-04-14,110.26,2023-04-28,110.45,0.172,14,1,False,110.26,False
SHV,2023-05,2023-05-16,110.24,2023-05-31,110.41,0.154,15,1,False,110.24,False
SHV,2023-06,2023-06-15,110.25,2023-06-30,110.45,0.181,15,1,False,110.25,False
SHV,2023-07,2023-07-17,110.22,2023-07-31,110.44,0.2,14,1,False,110.22,False
SHV,2023-08,2023-08-17,110.28,2023-08-31,110.5,0.199,14,1,False,110.28,False
SHV,2023-09,2023-09-15,110.27,2023-09-29,110.47,0.181,14,2,True,110.27,False
SHV,2023-10,2023-10-17,110.28,2023-10-31,110.5,0.199,14,2,True,110.28,False
SHV,2023-11,2023-11-15,110.31,2023-11-30,110.59,0.254,15,1,False,110.31,False
SHV,2023-12,2023-12-01,110.14,2023-12-13,110.31,0.154,12,1,False,110.14,False
SHV,2024-01,2024-01-17,110.36,2024-01-31,110.57,0.19,14,1,False,110.36,False
SHV,2024-02,2024-02-14,110.29,2024-02-29,110.53,0.218,15,1,False,110.29,False
SHV,2024-03,2024-03-14,110.3,2024-03-28,110.54,0.218,14,1,False,110.3,False
SHV,2024-04,2024-04-16,110.26,2024-04-30,110.47,0.19,14,1,False,110.26,False
SHV,2024-05,2024-05-16,110.3,2024-05-31,110.51,0.19,15,1,False,110.3,False
SHV,2024-06,2024-06-13,110.23,2024-06-28,110.5,0.245,15,1,False,110.23,False
SHV,2024-07,2024-07-17,110.31,2024-07-31,110.54,0.209,14,1,False,110.31,False
SHV,2024-08,2024-08-16,110.37,2024-08-30,110.6,0.208,14,1,False,110.37,False
SHV,2024-09,2024-09-16,110.41,2024-09-30,110.63,0.199,14,2,True,110.41,False
SHV,2024-10,2024-10-17,110.37,2024-10-31,110.57,0.181,14,1,False,110.37,False
SHV,2024-11,2024-11-14,110.29,2024-11-29,110.51,0.199,15,1,False,110.29,False
SHV,2024-12,2024-12-03,110.14,2024-12-17,110.33,0.173,14,2,True,110.14,False
SHV,2025-01,2025-01-16,110.29,2025-01-31,110.51,0.199,15,1,False,110.29,False
SHV,2025-02,2025-02-13,110.23,2025-02-28,110.45,0.2,15,1,False,110.23,False
SHV,2025-03,2025-03-17,110.29,2025-03-31,110.46,0.154,14,1,False,110.29,False
SHV,2025-04,2025-04-15,110.27,2025-04-30,110.46,0.172,15,1,False,110.27,False
SHV,2025-05,2025-05-15,110.24,2025-05-30,110.44,0.181,15,1,False,110.24,False
SHV,2025-06,2025-06-02,110.06,2025-06-10,110.17,0.1,8,1,False,110.06,False
