Cycle_Month,Low_Date,Low,Peak_Date,Peak,Gain_%
2023-01,2023-01-04,50.38999938964844,2023-01-31,50.560001373291016,0.337
2023-02,2023-02-01,50.400001525878906,2023-02-28,50.560001373291016,0.317
2023-03,2023-03-01,50.400001525878906,2023-03-31,50.59000015258789,0.377
2023-04,2023-04-03,50.41999816894531,2023-04-28,50.630001068115234,0.417
2023-05,2023-05-01,50.43999862670898,2023-05-31,50.650001525878906,0.416
2023-06,2023-06-01,50.459999084472656,2023-06-30,50.66999816894531,0.416
2023-07,2023-07-05,50.459999084472656,2023-07-31,50.66999816894531,0.416
2023-08,2023-08-01,50.52000045776367,2023-08-31,50.7400016784668,0.435
2023-09,2023-09-01,50.52999877929688,2023-09-29,50.7400016784668,0.416
2023-10,2023-10-02,50.52000045776367,2023-10-31,50.75,0.455
2023-11,2023-11-01,50.540000915527344,2023-11-30,50.75,0.416
2023-12,2023-12-01,50.52000045776367,2023-12-29,50.470001220703125,-0.099
2024-01,2024-01-02,50.470001220703125,2024-01-31,50.70000076293945,0.456
2024-02,2024-02-01,50.470001220703125,2024-02-29,50.70000076293945,0.456
2024-03,2024-03-01,50.5,2024-03-28,50.68999862670898,0.376
2024-04,2024-04-01,50.43999862670898,2024-04-30,50.68000030517578,0.476
2024-05,2024-05-01,50.47999954223633,2024-05-31,50.70000076293945,0.436
2024-06,2024-06-04,50.47999954223633,2024-06-28,50.65999984741211,0.357
2024-07,2024-07-01,50.459999084472656,2024-07-30,50.65999984741211,0.396
2024-08,2024-08-02,50.41999816894531,2024-08-30,50.630001068115234,0.417
2024-09,2024-09-03,50.43000030517578,2024-09-30,50.59999847412109,0.337
2024-10,2024-10-01,50.40999984741211,2024-10-31,50.61000061035156,0.397
2024-11,2024-11-01,50.43000030517578,2024-11-29,50.630001068115234,0.397
2024-12,2024-12-02,50.459999084472656,2024-12-31,50.470001220703125,0.02
2025-01,2025-01-02,50.47999954223633,2025-01-31,50.68000030517578,0.396
2025-02,2025-02-03,50.5099983215332,2025-02-28,50.66999816894531,0.317
2025-03,2025-03-03,50.5099983215332,2025-03-31,50.65999984741211,0.297
2025-04,2025-04-02,50.47999954223633,2025-04-29,50.63999938964844,0.317
2025-05,2025-05-01,50.470001220703125,2025-05-30,50.65999984741211,0.376
