ETF,Month,Low_Date,Low,Peak_Date,Peak,Rebound_%,Days_Between_Low_and_Peak,Multi_Peak_Days,Is_Multi_Day_Peak,10D_Low_Before_Peak,Was_Peak_in_Prior_Month
TFLO,2023-03,2023-03-21,50.48,2023-03-31,50.59,0.218,10,1,False,50.48,False
TFLO,2023-04,2023-04-14,50.51,2023-04-28,50.63,0.238,14,1,False,50.51,False
TFLO,2023-05,2023-05-16,50.54,2023-05-31,50.65,0.218,15,1,False,50.54,False
TFLO,2023-06,2023-06-15,50.55,2023-06-30,50.67,0.237,15,1,False,50.55,False
TFLO,2023-09,2023-09-15,50.63,2023-09-29,50.74,0.217,14,1,False,50.63,False
TFLO,2023-10,2023-10-17,50.64,2023-10-31,50.75,0.217,14,1,False,50.64,False
TFLO,2023-11,2023-11-15,50.62,2023-11-30,50.75,0.257,15,1,False,50.62,False
TFLO,2024-01,2024-01-17,50.58,2024-01-31,50.7,0.237,14,1,False,50.58,False
TFLO,2024-02,2024-02-14,50.59,2024-02-29,50.7,0.217,15,1,False,50.59,False
TFLO,2024-04,2024-04-16,50.57,2024-04-30,50.68,0.218,14,1,False,50.57,False
TFLO,2024-11,2024-11-14,50.52,2024-11-29,50.63,0.218,15,1,False,50.52,False
TFLO,2025-05,2025-05-15,50.55,2025-05-30,50.66,0.218,15,1,False,50.55,False
