ETF,Month,Low_Date,Low,Peak_Date,Peak,Rebound_%,Days_Between_Low_and_Peak,Multi_Peak_Days,Is_Multi_Day_Peak,10D_Low_Before_Peak,Was_Peak_in_Prior_Month
USFR,2023-01,2023-01-09,50.29,2023-01-24,50.4,0.219,15,2,True,50.29,False
USFR,2023-06,2023-06-08,50.39,2023-06-23,50.5,0.218,15,1,False,50.39,False
USFR,2023-10,2023-10-10,50.38,2023-10-24,50.49,0.218,14,2,True,50.38,False
USFR,2023-11,2023-11-08,50.38,2023-11-22,50.49,0.218,14,1,False,50.38,False
USFR,2023-12,2023-12-07,50.34,2023-12-21,50.45,0.219,14,1,False,50.34,False
USFR,2024-01,2024-01-09,50.3,2024-01-24,50.42,0.239,15,1,False,50.3,False
USFR,2024-02,2024-02-07,50.34,2024-02-22,50.46,0.238,15,2,True,50.34,False
USFR,2024-04,2024-04-09,50.38,2024-04-23,50.5,0.238,14,2,True,50.38,False
USFR,2024-06,2024-06-07,50.4,2024-06-24,50.51,0.218,17,1,False,50.4,False
USFR,2024-08,2024-08-09,50.35,2024-08-23,50.46,0.218,14,1,False,50.35,False
USFR,2024-11,2024-11-08,50.34,2024-11-22,50.45,0.219,14,1,False,50.34,False
USFR,2024-12,2024-12-10,50.35,2024-12-24,50.46,0.218,14,2,True,50.35,False
USFR,2025-01,2025-01-08,50.37,2025-01-24,50.48,0.218,16,1,False,50.37,False
