USFR_Peak_Date,USFR_Peak
2023-01-23,50.4
2023-02-16,50.41
2023-03-23,50.4
2023-04-20,50.43
2023-05-22,50.47
2023-06-23,50.5
2023-07-21,50.49
2023-08-23,50.51
2023-09-21,50.48
2023-10-23,50.49
2023-11-22,50.49
2023-12-21,50.45
2024-01-22,50.41
2024-02-21,50.46
2024-03-21,50.46
2024-04-22,50.5
2024-05-23,50.52
2024-06-21,50.5
2024-07-25,50.48
2024-08-23,50.46
2024-09-24,50.4
2024-10-22,50.4
2024-11-22,50.45
2024-12-23,50.46
2025-01-21,50.46
2025-02-21,50.5
2025-03-25,50.47
2025-04-22,50.44
2025-05-23,50.47
