Month,USFR_Peak_Date,USFR_Peak,USFR_Low_Date,USFR_Low,Drop_%,USFR_Low_Modal_Day
2023-02,2023-02-21,50.4,2023-02-22,50.24,-0.317,22
2023-03,2023-03-24,50.4,2023-03-27,50.21,-0.377,27
2023-04,2023-04-21,50.43,2023-04-24,50.23,-0.397,24
2023-05,2023-05-22,50.47,2023-05-24,50.24,-0.456,23
2023-06,2023-06-23,50.5,2023-06-26,50.29,-0.416,26
2023-07,2023-07-21,50.49,2023-07-25,50.29,-0.396,24
2023-08,2023-08-24,50.51,2023-08-25,50.29,-0.436,25
2023-09,2023-09-22,50.48,2023-09-25,50.28,-0.396,25
2023-10,2023-10-24,50.49,2023-10-25,50.27,-0.436,25
2023-11,2023-11-23,50.49,2023-11-24,50.27,-0.436,24
2023-12,2023-12-21,50.45,2023-12-22,50.21,-0.476,22
2024-01,2024-01-24,50.42,2024-01-25,50.23,-0.377,25
2024-02,2024-02-22,50.46,2024-02-23,50.26,-0.396,23
2024-03,2024-03-21,50.46,2024-03-22,50.24,-0.436,22
2024-04,2024-04-23,50.5,2024-04-24,50.28,-0.436,24
2024-05,2024-05-23,50.52,2024-05-24,50.31,-0.416,24
2024-06,2024-06-24,50.51,2024-06-26,50.28,-0.455,25
2024-07,2024-07-25,50.48,2024-07-26,50.27,-0.416,26
2024-08,2024-08-23,50.46,2024-08-28,50.22,-0.476,26
2024-09,2024-09-24,50.4,2024-09-25,50.2,-0.397,25
2024-10,2024-10-25,50.42,2024-10-28,50.24,-0.357,28
2024-11,2024-11-22,50.45,2024-11-25,50.27,-0.357,25
2024-12,2024-12-25,50.46,2024-12-26,50.28,-0.357,26
2025-01,2025-01-24,50.48,2025-01-28,50.33,-0.297,27
2025-02,2025-02-24,50.5,2025-02-25,50.34,-0.317,25
2025-03,2025-03-25,50.47,2025-03-26,50.29,-0.357,26
2025-04,2025-04-24,50.44,2025-04-25,50.29,-0.297,25
2025-05,2025-05-26,50.47,2025-05-27,50.3,-0.337,27
