USFR_Low_Date,USFR_Low
2023-01-09,50.29
2023-02-03,50.31
2023-03-09,50.37
2023-04-05,50.32
2023-05-08,50.38
2023-06-08,50.39
2023-07-07,50.39
2023-08-09,50.41
2023-09-07,50.39
2023-10-09,50.38
2023-11-08,50.38
2023-12-07,50.34
2024-01-05,50.3
2024-02-06,50.34
2024-03-07,50.36
2024-04-08,50.36
2024-05-09,50.42
2024-06-06,50.39
2024-07-11,50.4
2024-08-09,50.35
2024-09-10,50.31
2024-10-08,50.29
2024-11-08,50.34
2024-12-09,50.35
2025-01-03,50.34
2025-02-06,50.39
2025-03-11,50.41
2025-04-07,50.34
2025-05-09,50.38
